N,M,Max Precision (bits),Min Precision (bits),Network,Layer,Cycles,Memory wait cycles,WBUF Read,WBUF Write,OBUF Read,OBUF Write,IBUF Read,IBUF Write,DRAM Read,DRAM Write,Bandwidth (bits/cycle),WBUF Size (bits),OBUF Size (bits),IBUF Size (bits),Batch size
32,32,16,10,vit_huge,fc25/MatMul,307224,24,2516582400,78643200,318504960,314572800,2516582400,157286400,235929600,3932160,1024,131072,131072,262144,64
32,32,16,10,vit_huge,fc26/MatMul,2607,47,39321600,614400,1259520,1228800,39321600,1310720,1925120,30720,1024,131072,131072,262144,64
32,32,16,10,vit_huge,fc27/MatMul,102424,24,838860800,26214400,106168320,104857600,838860800,52428800,78643200,1310720,1024,131072,131072,262144,64
32,32,16,10,vit_huge,fc28/MatMul,2792,232,13107200,204800,419840,409600,13107200,1310720,1515520,10240,1024,131072,131072,262144,64
32,32,16,10,vit_huge,fc29/MatMul,409624,24,3355443200,104857600,424673280,419430400,3355443200,209715200,314572800,5242880,1024,131072,131072,262144,64
32,32,16,10,vit_huge,fc30/MatMul,5168,48,83886080,1310720,2686976,2621440,83886080,2621440,3932160,65536,1024,131072,131072,262144,64
32,32,16,10,vit_huge,fc31/MatMul,409616,16,3355443200,104857600,211025920,209715200,3355443200,104857600,209715200,1310720,1024,131072,131072,262144,64
32,32,16,10,vit_huge,fc32/MatMul,10261,21,52428800,1638400,1648640,1638400,52428800,5242880,6881280,10240,1024,131072,131072,262144,64
32,32,16,10,vit_huge,fc33/MatMul,307224,24,2516582400,78643200,318504960,314572800,2516582400,157286400,235929600,3932160,1024,131072,131072,262144,64
32,32,16,10,vit_huge,fc34/MatMul,2607,47,39321600,614400,1259520,1228800,39321600,1310720,1925120,30720,1024,131072,131072,262144,64
32,32,16,10,vit_huge,fc35/MatMul,102424,24,838860800,26214400,106168320,104857600,838860800,52428800,78643200,1310720,1024,131072,131072,262144,64
32,32,16,10,vit_huge,fc36/MatMul,2792,232,13107200,204800,419840,409600,13107200,1310720,1515520,10240,1024,131072,131072,262144,64
32,32,16,10,vit_huge,fc37/MatMul,409624,24,3355443200,104857600,424673280,419430400,3355443200,209715200,314572800,5242880,1024,131072,131072,262144,64
32,32,16,10,vit_huge,fc38/MatMul,5168,48,83886080,1310720,2686976,2621440,83886080,2621440,3932160,65536,1024,131072,131072,262144,64
32,32,16,10,vit_huge,fc39/MatMul,409616,16,3355443200,104857600,211025920,209715200,3355443200,104857600,209715200,1310720,1024,131072,131072,262144,64
32,32,16,10,vit_huge,fc40/MatMul,10261,21,52428800,1638400,1648640,1638400,52428800,5242880,6881280,10240,1024,131072,131072,262144,64
32,32,16,10,vit_huge,fc41/MatMul,307224,24,2516582400,78643200,318504960,314572800,2516582400,157286400,235929600,3932160,1024,131072,131072,262144,64
32,32,16,10,vit_huge,fc42/MatMul,2607,47,39321600,614400,1259520,1228800,39321600,1310720,1925120,30720,1024,131072,131072,262144,64
32,32,16,10,vit_huge,fc43/MatMul,102424,24,838860800,26214400,106168320,104857600,838860800,52428800,78643200,1310720,1024,131072,131072,262144,64
32,32,16,10,vit_huge,fc44/MatMul,2792,232,13107200,204800,419840,409600,13107200,1310720,1515520,10240,1024,131072,131072,262144,64
32,32,16,10,vit_huge,fc45/MatMul,409624,24,3355443200,104857600,424673280,419430400,3355443200,209715200,314572800,5242880,1024,131072,131072,262144,64
32,32,16,10,vit_huge,fc46/MatMul,5168,48,83886080,1310720,2686976,2621440,83886080,2621440,3932160,65536,1024,131072,131072,262144,64
32,32,16,10,vit_huge,fc47/MatMul,409616,16,3355443200,104857600,211025920,209715200,3355443200,104857600,209715200,1310720,1024,131072,131072,262144,64
32,32,16,10,vit_huge,fc48/MatMul,10261,21,52428800,1638400,1648640,1638400,52428800,5242880,6881280,10240,1024,131072,131072,262144,64
32,32,16,10,vit_huge,fc49/MatMul,307224,24,2516582400,78643200,318504960,314572800,2516582400,157286400,235929600,3932160,1024,131072,131072,262144,64
32,32,16,10,vit_huge,fc50/MatMul,2607,47,39321600,614400,1259520,1228800,39321600,1310720,1925120,30720,1024,131072,131072,262144,64
32,32,16,10,vit_huge,fc51/MatMul,102424,24,838860800,26214400,106168320,104857600,838860800,52428800,78643200,1310720,1024,131072,131072,262144,64
32,32,16,10,vit_huge,fc52/MatMul,2792,232,13107200,204800,419840,409600,13107200,1310720,1515520,10240,1024,131072,131072,262144,64
32,32,16,10,vit_huge,fc53/MatMul,409624,24,3355443200,104857600,424673280,419430400,3355443200,209715200,314572800,5242880,1024,131072,131072,262144,64
32,32,16,10,vit_huge,fc54/MatMul,5168,48,83886080,1310720,2686976,2621440,83886080,2621440,3932160,65536,1024,131072,131072,262144,64
32,32,16,10,vit_huge,fc55/MatMul,409616,16,3355443200,104857600,211025920,209715200,3355443200,104857600,209715200,1310720,1024,131072,131072,262144,64
32,32,16,10,vit_huge,fc56/MatMul,10261,21,52428800,1638400,1648640,1638400,52428800,5242880,6881280,10240,1024,131072,131072,262144,64
32,32,16,10,vit_huge,fc57/MatMul,307224,24,2516582400,78643200,318504960,314572800,2516582400,157286400,235929600,3932160,1024,131072,131072,262144,64
32,32,16,10,vit_huge,fc58/MatMul,2607,47,39321600,614400,1259520,1228800,39321600,1310720,1925120,30720,1024,131072,131072,262144,64
32,32,16,10,vit_huge,fc59/MatMul,102424,24,838860800,26214400,106168320,104857600,838860800,52428800,78643200,1310720,1024,131072,131072,262144,64
32,32,16,10,vit_huge,fc60/MatMul,2792,232,13107200,204800,419840,409600,13107200,1310720,1515520,10240,1024,131072,131072,262144,64
32,32,16,10,vit_huge,fc61/MatMul,409624,24,3355443200,104857600,424673280,419430400,3355443200,209715200,314572800,5242880,1024,131072,131072,262144,64
32,32,16,10,vit_huge,fc62/MatMul,5168,48,83886080,1310720,2686976,2621440,83886080,2621440,3932160,65536,1024,131072,131072,262144,64
32,32,16,10,vit_huge,fc63/MatMul,409616,16,3355443200,104857600,211025920,209715200,3355443200,104857600,209715200,1310720,1024,131072,131072,262144,64
