N,M,Max Precision (bits),Min Precision (bits),Network,Layer,Cycles,Memory wait cycles,WBUF Read,WBUF Write,OBUF Read,OBUF Write,IBUF Read,IBUF Write,DRAM Read,DRAM Write,Bandwidth (bits/cycle),WBUF Size (bits),OBUF Size (bits),IBUF Size (bits),Batch size
32,32,8,4,vit_huge,fc23/MatMul,409612,12,2516582400,157286400,420741120,419430400,2516582400,157286400,314572800,1310720,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc24/MatMul,10251,11,26214400,1638400,3287040,3276800,26214400,5242880,6881280,10240,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc25/MatMul,307224,24,1887436800,117964800,633077760,629145600,1887436800,117964800,235929600,3932160,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc26/MatMul,2584,24,19660800,614400,2488320,2457600,19660800,1310720,1925120,30720,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc27/MatMul,102424,24,629145600,39321600,211025920,209715200,629145600,39321600,78643200,1310720,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc28/MatMul,2776,216,6553600,204800,829440,819200,6553600,1310720,1515520,10240,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc29/MatMul,409624,24,2516582400,157286400,844103680,838860800,2516582400,157286400,314572800,5242880,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc30/MatMul,5144,24,41943040,1310720,5308416,5242880,41943040,2621440,3932160,65536,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc31/MatMul,409612,12,2516582400,157286400,420741120,419430400,2516582400,157286400,314572800,1310720,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc32/MatMul,10251,11,26214400,1638400,3287040,3276800,26214400,5242880,6881280,10240,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc33/MatMul,307224,24,1887436800,117964800,633077760,629145600,1887436800,117964800,235929600,3932160,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc34/MatMul,2584,24,19660800,614400,2488320,2457600,19660800,1310720,1925120,30720,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc35/MatMul,102424,24,629145600,39321600,211025920,209715200,629145600,39321600,78643200,1310720,1024,131072,131072,262144,64
32,32,8,4,vit_huge,fc36/MatMul,2776,216,6553600,204800,829440,819200,6553600,1310720,1515520,10240,1024,131072,131072,262144,64
